node,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,x_m,y_m,z_m,source_names,source_guids,status
11557,-1.613231455975062,2.0176415314240037,22.773340429708558,-0.13509289353728546,-0.2687086331003258,0.0022449813452921465,9.375,3.75,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11558,-0.9934396897165219,1.8668875590351268,18.373012350281318,-0.10100907935361733,-0.20790501924406857,-0.02337521061597691,9.375,3.8,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11559,-0.9794381019772453,2.3826289172802966,23.569483288306245,-0.12091206416664882,-0.23228962035640247,-0.03829510459713982,9.375,3.9,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11560,-0.8699935894549724,3.3157068622251105,33.79561690997371,-0.15539418170337113,-0.2467611469821173,-0.06126810717349625,9.375,4.0,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11561,-0.4594839468019328,3.828058386809637,43.112878668524885,-0.17285884990584366,-0.17595694087758582,-0.0769786719108187,9.375,4.2,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11562,0.050307862168430605,2.261521278611304,28.58264030362409,-0.09985041073979614,-0.029910614971767162,-0.04958710166911699,9.375,4.4,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11563,0.09133214825440977,0.7492880505792909,10.174996381854006,-0.032394530405665846,0.009554758064172428,-0.0179705966190489,9.375,4.475,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11564,0.08378985557886844,1.1411232322898917,12.528097626389199,-0.05089346812411834,0.013829732601461156,-0.01634894084801528,9.375,4.5,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11565,0.21524278551734852,1.0061805356669984,12.515512319114404,-0.052929277024571314,0.03210029454864584,-0.012470640172055824,9.375,4.6,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11566,-0.08347216459964796,1.414349165113224,15.182592556323188,-0.06035146238185049,0.02839698668442933,0.008559842607623054,9.375,4.625,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11567,0.43451055875215006,1.9389470460845555,22.48496903507032,-0.0877815813261292,0.07101718835079102,-0.0038962982775087294,9.375,4.75,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11568,0.6903532027403928,4.227554143128431,50.28109033226902,-0.18839070051129037,0.14983759997434487,0.009364956061557073,9.375,4.85,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11569,0.9802234114561943,5.850538123915658,77.35717274945692,-0.26593416109518075,0.2148070301912894,0.0148962802431233,9.375,5.25,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11570,0.8015424127840244,3.7240609317801883,56.53456845387566,-0.1717094021976066,0.15973717852803276,0.003251459368639121,9.375,5.61,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11571,0.47159212792849786,1.8205704629199824,29.943293547362618,-0.0839813774376458,0.09191916237612457,-0.003568848797072902,9.375,5.8,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
11572,0.3872779977807399,1.3362368768243629,23.223714224073213,-0.06343237742278042,0.07925788077636398,-0.006526889152678547,9.375,5.9,-1.8,SW-SHARED-STAIR-LIFT-BASE,1SnbtbDRLQCQ5gG71z3C5f,H03_C_UNFACTORED_DIAGNOSTIC_FIXED_BASE_NOT_FOUNDATION_DESIGN
